product_id,asin,parent_asin,review_text,rating,review_timestamp,verified_purchase,user_id,review_title,review_datetime,topic
B083NRGZMM,B083NRGZMM,B083NRGZMM,"First & most offensive: they reek of gasoline so if you are sensitive/allergic to petroleum products like I am you will want to pass on these. Second: the phone adapter is useless as-is. Mine was not drilled far enough to be able to tighten it into place for my iPhone 12 max. It just slipped & slid all over. Stupid me putting the adapter together first without picking up the binoculars to smell them bc I wasted 15 minutes trying to figure out how to put the adapter together bc it does not come with instructions! I had to come back here to the website which was a total pain. Third: the tripod is also useless. I would not trust the iOS to hold my $1600 phone nor even a Mattel Barbie for that matter. It’s just inefficient for the job imo. Third: in order to try to give an honest review I did don gloves & eyewear to check the binoculars out. They seemed average except for mine seemed to be missing about 10% of the film costing in the lower edge of one of the lenses which would have ruined every video & photograph unplanned to take so for me these are a very huge hard pass. I expect the accessories that come with the main product to be as good or better than the product I’m buying. Otherwise I would just buy the product as a stand alone. Sadly, I found a decent pair of binoculars last year with a much better quality phone adapter & tripod, but they had a defect too. Guess I’m going to have to pay more. Ugh.",3,1658185117948,True,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,Smells like gasoline! Going back!,2022-07-18 22:58:37.948,39
B07N69T6TM,B07N69T6TM,B07N69T6TM,"These didn’t work. Idk if they were damaged in shipping or what, but the lenses were loose or something. I could see half a lens with its edge in the frame and the rest was missing. It looked like it came loose or was broken.",1,1592678549731,True,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,Didn’t work at all lenses loose/broken.,2020-06-20 18:42:29.731,39
B01G8JO5F2,B01G8JO5F2,B01G8JO5F2,"I love these. They even come with a carry case and several sizes of ear bud inserts. Thank heaven! I get ear pain from most, but the smallest buds fit great. They also have a charger and all of it fits in the carry case. I just wish they came in more colors preferably something bright! When I leave them on my nightstand it takes a while to figure out which of half a dozen black cables are the right ones. Even white would be ok as only my iPhone has a white cord.",5,1523093017534,True,AFKZENTNBQ7A7V7UXW5JJI6UGRYQ,Excellent!,2018-04-07 09:23:37.534,-1
B001OC5JKY,B001OC5JKY,B001OC5JKY,"I was searching for a sturdy backpack for school that would allow me to carry my laptop as well as schoolbooks. After reading many of the reviews of this bag, I placed my order and crossed my fingers. I shouldn't have worried; it's a great bag! Solidly built and traveler-friendly with a ton of compartments for every little thing one might need to stow away. While this backpack is slightly larger than your average backpack, it is comfortable to wear trekking cross campus. Also, another aspect of this bag that I love is that it stands upright. I know that sounds kinda crazy, but I find it annoying when your backpack flops over next to your desk and stuff kind of just falls out, or if you need to grab something quickly out of the bag you have to awkwardly curl your body around the side of your chair and then on the way up, smash your head against the desk. So yeah, lazy girl (points to self) loves the convenience of a bag that stands upright for easy grabbage. I plan to travel with this backpack when I fly home this Christmas instead of bringing a bulky tote bag on the plane.",5,1290278495000,True,AGGZ357AO26RQZVRLGU4D4N52DZQ,Great laptop backpack!,2010-11-20 18:41:35.000,5
B07CJYMRWM,B013J7WUGC,B07CJYMRWM,I've bought these headphones three times because I love them so much and overuse them and find ways to break the plug to where I can't use my warranty. The sound and bass are awesome. Hands down my favorite headphones in this price bracket.,5,1676601581238,True,AG2L7H23R5LLKDKLBEF2Q3L2MVDA,Best Headphones in the Fifties price range!,2023-02-17 02:39:41.238,0
B07CML419K,B072DSHKCH,B07CML419K,"Light weight, quiet and totally awesome!!! It doesn’t come with a charging base, but the cord ends in a USB so you can plug it into a phone charger or portable charger. Anything with USB! It’s so light and works great! It’s really quiet also!!!",5,1637522881041,True,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,Great Fan! I’m a FAN!,2021-11-21 19:28:01.041,-1
B07BHHB5RH,B07BHHB5RH,B07BHHB5RH,Update 2-they sent a new warranty replacement. Good company.<br />Update- was 5 star until they left headphone died after 1.5 years. Will contact support.<br />old:<br />love them. a bit noisy when you're jogging. but solid for biking or chilling around the house,5,1565130879386,True,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,solid sound for the price,2019-08-06 22:34:39.386,-1
B09S6Y5BRG,B07BND376H,B09S6Y5BRG,These are fantastic headphones and I love that i can have my cell phone plugged in at a central location in my house and walk around the house and still listen to music or my book. the range for me is about 30' and the headphones will disconnect if i go outside and then reconnect when i get close to my phone again. If my phone is in my pocket it will stay connected where ever i go. I love listening to things without being attached or tethered to my phone. It also makes it harder for my kids to pull the earphones out of my ears when there is no long cord attached to my phone. I love the 1 click pause feature so i can quickly pause what i am listening to talk to someone (i don't have to go find my phone and swipe and pause). They are comfortable and stay on really well for my ears. I have taken them running and they stayed on as well. I had an issue about 1 year after I bought the headphones and the customer service was wonderful and understanding. really great product and I will continue to purchase and recommend these to my friends.,5,1541356831659,True,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,Love the headphones - great range,2018-11-04 18:40:31.659,0
B01LW71IBJ,B002HWRZ2K,B01LW71IBJ,pretty good for the price.,5,1456772571000,True,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,Five Stars,2016-02-29 19:02:51.000,19
B017T99JPG,B00WK47VEW,B017T99JPG,yes.. so good. just buy it. my favorite feature is it auto connects and remembers my devices.,5,1456772365000,True,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,BUY THIS THANG,2016-02-29 18:59:25.000,45
B00L0YLRUW,B00L0YLRUW,B00L0YLRUW,This devices brought my wifi network to its knees. Not sure why this has good reviews. My devices had a hard time connecting. And even if my devices weren't connected it would hog a bunch of bandwidth and slow the whole network. I personally would just buy an AirPort Extreme. That solved range problems for me.,1,1439226089000,True,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,Not sure why this has good reviews. My devices had a hard time connecting,2015-08-10 17:01:29.000,11
B01HHURN3W,B00CB7W1GG,B01HHURN3W,"Works well, but the corner of the plastic cracked and is broken after a month or so. I think at least 2 of the plastic corners are cracked now. still works but wish it was higher quality.",3,1408995743000,True,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,Works but corners crack,2014-08-25 19:42:23.000,4
B004S2JX7W,B004S2JX7W,B004S2JX7W,legit. love them. I play with 1 in fully and 1 ear in 1/2. really nice. good product. buy rechargeable batteries to go with them you'll save $$$,5,1384912340000,True,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,legit,2013-11-20 01:52:20.000,0
